Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Carolyn,Zimmerman,Sharon Corners 978,Kirkside,92752,Danmark,DK,19940307-2923,+45,+1-714-843-8397,1994-03-07,True
Rolf,Sjöström,Fabriksgatan 7,Ängelholm,29305,Danmark,SE,19470602-2338,+46,08-959 84 61,1947-06-02,True
Richard,Yates,Wilson Grove 12704,North Valerie,38081,Danmark,DK,19721218-3587,+45,492.953.8428x0969,1972-12-18,True
Maria,Olausson,Kyrkostigen 472,Varberg,10939,Sverige,SE,19550301-1806,+46,+46 (0)8 734 146 22,1955-03-01,True
Christina,Persson,Backvägen 8,Trelleborg,45005,Sverige,SE,19620218-3742,+46,+46 (0)8 457 687 41,1962-02-18,True
Kjersti,Nielsen,Holmgrenda 8,Antonsen,7999,Norge,NO,19941205-7289,+47,30 47 49 28,1994-12-05,True
Frode,Olsen,Aasmarka 5,Johannessen,1611,Norge,NO,19670406-3745,+47,46673480,1967-04-06,True
Mats,Nilsson,Gengränd 8,Ängelholm,59121,Sverige,SE,19860122-1180,+46,+46 (0)953 819 23,1986-01-22,True
Helena,Gustafsson,Skolstigen 43,Malmö,18704,Sverige,SE,19791231-4600,+46,0210-19 21 55,1979-12-31,True
Lena,Andersson,Idrottsstigen 056,Sundsvall,15891,Sverige,SE,19480618-1795,+46,018-55 10 25,1948-06-18,True
Sara,Hanssen,Fredriksenstykket 16G,Knudsen,9140,Norge,NO,19881008-6395,+47,997 43 246,1988-10-08,True
Gunnar,Karlsson,Ängsvägen 2,Linköping,67750,Sverige,SE,19470826-8628,+46,060-967 59 92,1947-08-26,True
Elisabet,Jonsson,Skogsgatan 915,Malmö,23656,Sverige,SE,19631229-7520,+46,060-172 88 69,1963-12-29,True
Thea,Mikkelsen,Nilsenlia 15B,Torbjørnsand,7815,Norge,NO,19990411-0605,+47,90403886,1999-04-11,True
Bengt,Lindberg,Industristigen 963,Jönköping,34067,Sverige,SE,19990323-6069,+46,+46 (0)035 039 39,1999-03-23,True
Siv,Persson,Idrottsgatan 06,Karlskrona,57009,Sverige,SE,19610913-9809,+46,066-80 12 69,1961-09-13,True
Marie,Nielsen,Pettersenbråten 6C,Torborg,2200,Norge,NO,19500319-1505,+47,52 71 68 44,1950-03-19,True
Mathias,Myklebust,Jakobsengata 5A,Helland,5882,Norge,NO,19590228-7196,+47,59 53 97 81,1959-02-28,True
Hanna,Sundberg,Furustigen 847,Malmö,62912,Sverige,SE,19540902-5584,+46,+46 (0)27 86 54 42,1954-09-02,True
Fredrik,Hedlund,Stationstorget 20,Lidingö,66422,Sverige,SE,19901223-9060,+46,0946-97 51 77,1990-12-23,True
Tamara,Logan,Matthew Extension 6262,Millshaven,17484,Danmark,DK,19770123-6587,+45,371.213.8488,1977-01-23,True
Gunnel,Olofsson,Parkvägen 7,Karlskoga,36702,Sverige,SE,19730702-9032,+46,08-214 027 90,1973-07-02,True
Elizabeth,Moran,Harris Cliffs 9699,Port Jo,88479,Danmark,DK,19830429-2254,+45,001-758-901-0051x2111,1983-04-29,True
David,Thomas,Williamson Harbor 33248,Tiffanyfort,60623,Danmark,DK,19840218-6411,+45,436-999-9639x993,1984-02-18,True
Louise,Nilsson,Fabriksgränd 7,Trollhättan,63084,Sverige,SE,19710921-8151,+46,08-332 168 34,1971-09-21,True
Margareta,Fredriksson,Järnvägsgatan 102,Sundsvall,40610,Sverige,SE,19990704-6464,+46,0768-34 05 48,1999-07-04,True
Grete,Sivertsen,Eriksensvingen 84,Marigrunn,2802,Norge,NO,19601116-6166,+47,98130841,1960-11-16,True
Cecilie,Rasmussen,Henriksenskrenten 6,Vik,0833,Norge,NO,19451114-4910,+47,66055255,1945-11-14,True
Ingrid,Hellberg,Backstigen 72,Skellefteå,19098,Sverige,SE,19671121-0375,+46,+46 (0)98 89 23 33,1967-11-21,True
Caroline,Erlandsson,Parkvägen 64,Lidingö,85381,Sverige,SE,19930921-7312,+46,076-79 72 48,1993-09-21,True
Margareta,Boman,Parkvägen 8,Nyköping,92404,Sverige,SE,19760423-9104,+46,08-978 372 71,1976-04-23,True
Rachel,Sanford,Allen Curve 22643,Warrenmouth,48070,Danmark,DK,19740205-5783,+45,925-711-1743x99416,1974-02-05,True
Anne,Andersson,Ekstigen 8,Trelleborg,90107,Sverige,SE,19690419-0685,+46,+46 (0)793 665 14,1969-04-19,True
Judith,Gonzalez,Moore Land 52474,Harrishaven,10839,Danmark,DK,19900531-3100,+45,001-292-989-5713,1990-05-31,True
Karl,Strand,Liengropa 63,Johansen,0649,Norge,NO,19411105-0110,+47,81 05 78 17,1941-11-05,True
Gunnar,Nilsson,Stationstorget 764,Falun,37144,Sverige,SE,19600105-5235,+46,0468-57 92 02,1960-01-05,True
Ragnhild,Jacobsen,Jacobsenmarka 8,Trondsand,8257,Norge,NO,19881122-5831,+47,+47 27 38 43 87,1988-11-22,True
Jennie,Lindholm,Villavägen 95,Gävle,14366,Sverige,SE,19850604-8753,+46,048-29 55 37,1985-06-04,True
Ludvig,Nilsson,Gengatan 05,Västerås,93365,Sverige,SE,19790915-6843,+46,+46 (0)308 763 38,1979-09-15,True
Tony,Andersson,Idrottstorget 120,Helsingborg,66757,Sverige,SE,19630608-3346,+46,08-460 27 90,1963-06-08,True
Ingvar,Stenberg,Strandgatan 7,Ängelholm,72246,Sverige,SE,19680329-1978,+46,08-629 46 37,1968-03-29,True
Tomas,Eriksson,Strandgatan 543,Helsingborg,84066,Sverige,SE,19920425-3363,+46,+46 (0)57 29 71 31,1992-04-25,True
Karolina,Eriksson,Grangränd 7,Lidingö,37272,Sverige,SE,19410724-3545,+46,0311-05 06 93,1941-07-24,True
Ida,Lindén,Nygatan 7,Trollhättan,89200,Sverige,SE,19730724-8688,+46,0414-433 59,1973-07-24,True
Kristian,Lien,Abrahamsenfaret 4,Martinås,0295,Norge,NO,19530227-2452,+47,49409787,1953-02-27,True
Yngve,Hansen,Ringtorget 972,Västerås,67922,Sverige,SE,19510319-9514,+46,0654-557 52,1951-03-19,True
Henrik,Magnusson,Grangränd 387,Karlstad,72504,Sverige,SE,19710715-2672,+46,+46 (0)8 170 399 44,1971-07-15,True
Johanna,Persson,Bäckstigen 1,Alingsås,65500,Sverige,SE,19441230-7882,+46,08-011 86 10,1944-12-30,True
Tobias,Tangen,Ellingsenstranda 6,Asbjørnstrand,6607,Norge,NO,19800117-0919,+47,46307900,1980-01-17,True
Nina,Nielsen,Vikengen 2,Janbø,0837,Norge,NO,19600324-2560,+47,08 13 51 31,1960-03-24,True
Gregory,Anderson,Roberts Row 103,Farleyfort,80785,Danmark,DK,19451218-4382,+45,+1-616-685-2545x8405,1945-12-18,True
Robert,Karlsson,Industrivägen 6,Lidingö,62542,Sverige,SE,19811104-3969,+46,08-006 85 90,1981-11-04,True
Andrew,Mcdonald,Daniels Path 802,Debramouth,24502,Danmark,DK,19501229-9818,+45,+1-295-784-3308x277,1950-12-29,True
Eva,Petersson,Åkerstigen 3,Jönköping,35883,Sverige,SE,19540726-1758,+46,08-213 38 88,1954-07-26,True
Annika,Åberg,Kvarntorget 003,Skövde,63390,Sverige,SE,19630127-1751,+46,+46 (0)980 714 36,1963-01-27,True
Elisa,Laakkonen,Sapilaskatu 809,Mäntsälä,30317,Finland,FI,19760502-6646,+358,+358661867120,1976-05-02,True
Anders,Andersson,Grangatan 1,Kristianstad,99410,Sverige,SE,19670406-8263,+46,025-93 37 21,1967-04-06,True
Jussi,Hämäläinen,Jämsänkuja 401,Hammarland,47240,Finland,FI,19840924-555M,+358,000 875 4366,1984-09-24,True
Margareta,Karlsson,Kyrkstigen 107,Kristianstad,74380,Sverige,SE,19701025-7437,+46,0600-86 40 13,1970-10-25,True
Eric,Karlsson,Björktorget 52,Landskrona,40160,Sverige,SE,19591205-3704,+46,08-491 14 71,1959-12-05,True
Sindre,Rasmussen,Rønninggjerdet 3,Tangen,8441,Norge,NO,19511231-5844,+47,943 92 981,1951-12-31,True
Solveig,Antonsen,Eriksengjerdet 13,Kristoffersen,9033,Norge,NO,19781101-4871,+47,475 50 144,1978-11-01,True
Carina,Nilsson,Järnvägsgatan 35,Göteborg,56495,Sverige,SE,19770616-9814,+46,0294-189 61,1977-06-16,True
Helén,Nyberg,Aspvägen 2,Norrköping,22164,mverige,SE,19420726-0938,+46,0463-688 21,1942-07-26,True
Tord,Lind,Furuvägen 0,Uppsala,89535,Sverige,SE,19870522-8110,+46,0390-67 28 37,1987-05-22,True
Karl,Nilsson,Parktorget 430,Luleå,87639,Sverige,SE,19800416-9539,+46,08-33 03 93,1980-04-16,True
Matilda,Jonasson,Trädgårdsgatan 9,Örebro,37650,Sverige,SE,19701031-9041,+46,0327-47 26 48,1970-10-31,True
Jonathan,Bäckström,Skoltorget 5,Linköping,69139,Sverige,SE,19420108-7812,+46,+46 (0)8 377 422 60,1942-01-08,True
Karin,Jansson,Parkvägen 1,Luleå,93115,Sverige,SE,19520810-0560,+46,08-551 52 10,1952-08-10,True
Nancy,Wright,Michael Circle 3086,Lake Davidmouth,69855,Danmark,DK,19840831-0258,+45,473.474.2220,1984-08-31,True
Anita,Sjöblom,Vesakkokuja 17,Kempele,69694,Finland,FI,19490427-8633,+358,(+358) 224001840,1949-04-27,True
Lilly,Larsson,Gengränd 439,Lund,55254,Sverige,SE,19580103-2495,+46,+46 (0)258 501 06,1958-01-03,True
Siv,Persson,Ringtorget 968,Östersund,51607,Sverige,SE,19840906-0002,+46,+46 (0)8 821 260 81,1984-09-06,True
Jasmine,Wagner,Janet Fort 438,North Matthewstad,75487,Danmark,DK,19890331-9599,+45,3389103469,1989-03-31,True
Tapio,Sirviö,Ostoskatu 0,Oripää,94201,Finland,FI,19560211-446R,+358,+358653740014,1956-02-11,True
Ida,Olsson,Stationsstigen 68,Alingsås,91768,Sverige,SE,19520424-6828,+46,08-066 95 42,1952-04-24,True
Liisa,Autio,Agnetankuja 669,Kaarina,46835,Finland,FI,19500425-678A,+358,+358 42 1119270,1950-04-25,True
Emil,Andreassen,Nilsenstien 6,Strand,5461,Norge,NO,19691111-7536,+47,95280563,1969-11-11,True
Line,Larsen,Knudsenjordet 2,Steinstrand,9463,Norge,NO,19490726-2743,+47,44627935,1949-07-26,True
Agneta,Berg,Skolvägen 684,Lidköping,24142,Sverige,SE,19811017-5761,+46,08-66 29 03,1981-10-17,True
Kjell,Aasen,Sivertsentjernet 72,Stigfjord,2717,Norge,NO,19970730-7731,+47,96215252,1997-07-30,True
Oskar,Larsson,Industrigatan 099,Örebro,36322,Sverige,SE,19600109-7178,+46,+46 (0)40 77 14 42,1960-01-09,True
Kristina,Schaefer,Willie Way 4359,Kellerfurt,56134,Danmark,DK,19840729-4625,+45,9948773310,1984-07-29,True
Artur,Lundin,Granvägen 8,Örnsköldsvik,83038,Sverige,SE,19740914-4400,46,010-284 05 91,1974-09-14,True
Anders,Jönsson,Ängstorget 13,Karlstad,17679,Sverige,SE,19861126-3034,+46,059-32 72 06,1986-11-26,True
Trine,Abrahamsen,Strandmarka 104,Lenenes,6167,Norge,NO,19950706-7282,+47,+47 89 09 89 51,1995-07-06,True
Lisbeth,Johansson,Bäckgränd 51,Södertälje,14434,Sverige,SE,19430518-7005,+46,08-213 98 19,1943-05-18,True
Deanna,Walters,Olson Ramp 266,Sarahshire,75307,Danmark,DK,19470528-7792,+45,740-211-7080x001,1947-05-28,True
Frank,Arnesen,Kristiansenroa 81,Mariushavn,7968,Norge,NO,19971109-6739,+47,89949735,1997-11-09,True
Martta,Matilainen,Böstaksenbulevardi 87,Kontiolahti,80685,Finland,FI,19560330-4336,+358,(+358) 859159644,1956-03-30,True
Lillemor,Andersson,Skogsvägen 510,Borlänge,21175,Sverige,SE,19530712-9587,+46,+46 (0)909 381 11,1953-07-12,True
Lise,Bakke,Moefaret 542,Mikkelsen,5664,Norge,NO,19410423-8248,+47,+4752210470,1941-04-23,True
Elisabet,Persson,Kvarnvägen 12,Östersund,35063,Sverige,SE,19940805-1390,+46,076-18 48 14,1994-08-05,True
Linnéa,Hedlund,Bäckgatan 41,Mölndal,21843,Sverige,SE,19440320-2868,+46,08-03 24 38,1944-03-20,True
Ulla,Hermansson,Aspvägen 57,Västerås,10771,Sverige,SE,19480129-9480,+46,0691-867 06,1948-01-29,True
Daniel,Davis,James Squares 8096,North Johnland,02407,Danmark,DK,19570530-1531,+45,6576444987,1957-05-30,True
Kjersti,Vik,Solberggropa 9,Hannabø,9309,Norge,NO,19490420-0638,+47,21 14 09 42,1949-04-20,True
Gunnar,Nyström,Nyvägen 47,Lund,64980,Sverige,SE,19730206-5223,+46,0019-170 79,1973-02-06,True
Margareta,Karlsson,Björkgränd 72,Halmstad,39117,Sverige,SE,19561014-1503,+46,+46 (0)8 919 797 70,1956-10-14,True
Irene,Haugen,Sætheralléen 8,Nilsen,8552,Norge,NO,19520426-7186,+47,43289583,1952-04-26,True
Brittany,Walls,Cook Parkways 6815,Younghaven,30424,Danmark,DK,19700223-8046,+45,001-877-969-4131x13721,1970-02-23,True
Liv,Jørgensen,Arnesenhøgda 9,Bakke,9159,Norge,NO,19810608-6489,+47,401 21 631,1981-06-08,True
Helen,Johansson,Skolvägen 31,Lidingö,27315,Sverige,SE,19840328-7958,+46,0132-88 26 17,1984-03-28,True
Anders,Berntsen,Lundevollen 72,Robertmark,6390,Norge,NO,19531102-5176,+47,+4716046149,1953-11-02,True
Cecilia,Johansson,Parkstigen 5,Skellefteå,75023,Sverige,SE,19950621-3318,+46,08-049 15 00,1995-06-21,True
Gunnar,Johansson,Ringgatan 5,Kalmar,44335,Sverige,SE,19421019-9648,+46,0104-162 13,1942-10-19,True
Johannes,Koivisto,Caloniuksenpolku 669,Keminmaa,23752,Finland,FI,19690413-409P,+358,0036188093,1969-04-13,True
Finn,Aas,Svendsenberget 76,Hannaberg,2794,Norge,NO,20000318-7456,+47,97525123,2000-03-18,True
Ann,Persson,Furugatan 194,Nyköping,40270,Sverige,SE,19670510-8209,+46,08-384 542 76,1967-05-10,True
Linnea,Jonsson,Strandvägen 16,Helsingborg,83176,Sverige,SE,19650805-5476,+46,08-040 693 25,1965-08-05,True
Erland,Blomqvist,Industrigatan 733,Karlstad,10751,Sverige,SE,19900823-5628,+46,08-33 48 68,1990-08-23,True
Holly,Freeman,Nicole Flats 0575,Port Adam,61720,Danmark,DK,19940217-7283,+45,001-880-942-7352x796,1994-02-17,True
Marie,Berglund,Furugatan 56,Linköping,27565,Sverige,SE,19690526-6656,+46,08-381 171 81,1969-05-26,True
Lise,Lund,Sætherlia 68,Emilfjell,2848,Norge,NO,19420601-6154,+47,11529926,1942-06-01,True
Gerd,Holm,Kyrkstigen 75,Örebro,94124,Sverige,SE,19610729-7150,46,+46 (0)38 02 86 20,1961-07-29,True
Arto,Perälä,Taimistonkuja 33,Utajärvi,86449,Finland,FI,19920617-620A,+358,074 507 6447,1992-06-17,True
Kenneth,Jennings,Katherine Track 62707,North Tracy,09856,Danmark,DK,19621214-5510,+45,001-671-688-9073x970,1962-12-14,True
Rolf,Karlsen,Myhreringen 7C,Olastrand,3545,Norge,NO,19580816-4677,+47,06 96 53 26,1958-08-16,True
Håkan,Eriksson,Kvarngatan 25,Ängelholm,74002,Sverige,SE,19781122-9550,+46,+46 (0)24 90 39 11,1978-11-22,True
Antonio,Vargas,Todd Parks 5669,Charlesview,51174,Danmark,DK,19540201-4689,+45,636.927.7303x574,1954-02-01,True
David,Peterson,Nathan Pines 692,Whitestad,16910,Danmark,DK,19681018-6098,+45,(375)415-9772,1968-10-18,True
Georg,Stenberg,Aspvägen 10,Skellefteå,62431,Sverige,SE,19920219-6581,+46,0486-135 88,1992-02-19,True
Carl,Eriksson,Idrottsgatan 7,Alingsås,93319,Sverige,SE,19881029-1558,+46,051-64 36 35,1988-10-29,True
Lars,Nilsson,Skolgatan 9,Lund,62309,Sverige,SE,19940715-2695,+46,011-817 04 46,1994-07-15,True
Bo,Wahlström,Industrigränd 595,Karlskoga,58464,Sverige,SE,19460605-6838,+46,08-824 42 33,1946-06-05,True
Inger,Jenssen,Myhretoppen 6,Amundsen,6059,Norge,NO,19810918-6022,+47,962 55 712,1981-09-18,True
Olavi,Jaakkola,Fahlanderin puistopolku 5,Ruokolahti,92710,Finland,FI,19531118-887X,+358,0671203192,1953-11-18,True
Tom,Olsson,Aspgatan 04,Alingsås,70725,Sverige,SE,19900718-2339,46,006-160 25 13,1990-07-18,True
Curtis,Lane,Martin Fort 0478,South Robynberg,69130,Danmark,DK,19720622-4993,+45,824.324.1146x278,1972-06-22,True
Nils,Johansson,Björkstigen 46,Gävle,60244,Sverige,SE,19720305-5373,+46,08-266 919 00,1972-03-05,True
Lena,Danielsson,Kvarngatan 743,Sundsvall,16094,Sverige,SE,19690823-2646,+46,08-339 02 09,1969-08-23,True
